번호,발표연도,가수,곡명,병기,iTunes가수,iTunes곡명,음반,음반연도,판
90,1989,해바라기,사랑으로,,해바라기,사랑으로,89 해바라기: 사랑으로 / 사랑의 진실 / 나는 자유인인가,1989,2026-08-28 15:25
91,1989,현철,봉선화 연정,,현철,봉선화 연정,현철 히트전집 2,1989,2026-08-28 15:25
92,1990,강수지,보라빛 향기,,강수지,보라빛 향기,최고인기가수 최고인기가요 3집,1990,2026-08-28 15:25
93,1990,김민우,입영열차 안에서,,김민우,입영열차안에서,김민우 1집,1990,2026-08-28 15:25
94,1990,김완선,삐에로는 우릴 보고 웃지,Piero Laughs At Us,김완선,Piero Laughs At Us,Piero Laughs At Us,1990,2026-08-28 15:25
95,1990,김지연,찬바람이 불면,,김지연,찬바람이 불면,김지연 1집: 계절이 끝나갈 무렵 / 찬바람이 불면,1990,2026-08-28 15:25
96,1990,김흥국,호랑나비,,김흥국,호랑나비,바람부는 날이면/어느날 카페에서/잊어 버리세요,1990,2026-08-28 15:25
97,1990,노사연,만남,,노사연,만남,노사연 2집,1990,2026-08-28 15:25
98,1990,민해경,보고 싶은 얼굴,,민해경,보고 싶은 얼굴,히스토리 40년,1990,2026-08-28 15:25
99,1990,신승훈,날 울리지마,,신승훈,날 울리지마,Endless Ballads,1991,2026-08-28 15:25
100,1990,신승훈,미소 속에 비친 그대,,신승훈,미소 속에 비친 그대,보이지 않는 사랑,1990,2026-08-28 15:25
101,1990,심신,오직 하나뿐인 그대,,심신,오직 하나뿐인 그대,그대 슬픔까지 사랑해,1990,2026-08-28 15:25
102,1990,윤상,이별의 그늘,,윤상,이별의 그늘,1집 윤상,1991,2026-08-28 15:25
103,1990,태진아,거울도 안 보는 여자,,태진아,거울도 안보는 여자,거울도 안보는 여자/그대 곁에 잠들고 싶어,1990,2026-08-28 15:25
104,1990,푸른하늘,눈물 나는 날에는,,푸른하늘,눈물나는 날에는,푸른하늘 2집 (눈물나는 날에는),1989,2026-08-28 15:25
105,1990,현철,싫다 싫어,,현철,싫다 싫어,현철 4집,1990,2026-08-28 15:25
106,1991,015B,너에게 들려주고 싶은 이야기,,015B,너에게 들려주고 싶은 이야기,Second Episode,1991,2026-08-28 15:25
107,1991,김현식,내사랑 내곁에,,김현식,내 사랑 내곁에,김현식 Vol.6,1991,2026-08-28 15:25
108,1991,박정운,오늘 같은 밤이면,,박정운,오늘 같은 밤이면 (그리움),2집 오늘같은 밤이면,1992,2026-08-28 15:25
109,1991,신승훈,보이지 않는 사랑,,신승훈,보이지 않는 사랑,보이지 않는 사랑,1991,2026-08-28 15:25
110,1991,신해철,나에게 쓰는 편지,,신해철,나에게 쓰는 편지,Myself,1991,2026-08-28 15:25
111,1991,신해철,재즈 카페,,신해철,재즈 카페,Myself,1991,2026-08-28 15:25
112,1991,양수경,사랑은 차가운 유혹,,양수경,사랑은 차가운 유혹,양수경 골든,1992,2026-08-28 15:25
113,1991,이문세,옛사랑,,이문세,옛 사랑,이문세 7집 [VII],1991,2026-08-28 15:25
