번호,첫방영연도,작품,배역,배우,곡명,가수,iTunes가수,iTunes곡명,음반,음반연도,판
69,2011,보스를 지켜라,차지헌 · 노은설,지성 · 최강희,우리 그냥 사랑하게 해 주세요,Apink,Apink,우리 그냥 사랑하게 해주세요,보스를 지켜라 (Original Soundtrack) Part.1 - Single,,2026-08-28 14:20
70,2011,시티헌터,이윤성 · 김나나,이민호 · 박민영,So Goodbye,종현,종현,So Goodbye,시티헌터 (Original Television Soundtrack),,2026-08-28 14:20
71,2011,최고의 사랑,독고진 · 구애정,차승원 · 공효진,두근두근,써니힐,써니힐,두근두근,최고의 사랑 (Original Television Soundtrack),,2026-08-28 14:20
72,2012,각시탈,이강토 · 목단,주원 · 진세연,심판의 날,주원 & 이정현,주원 & 이정현,심판의 날,KBS 특별기획드라마 각시탈 (Original Sound Track),,2026-08-28 14:20
73,2012,넝쿨째 굴러온 당신,방귀남 · 차윤희,유준상 · 김남주,넝쿨송,걸스데이,걸스데이,넝쿨송,KBS 주말드라마 넝쿨째 굴러온 당신 (Original Soundtrack) Pt. 5 - Single,,2026-08-28 14:20
74,2012,사랑비,서준 · 정하나,장근석 · 윤아,사랑비,장근석,장근석,사랑비,사랑비 (Original Soundtrack),,2026-08-28 14:20
75,2012,신의,최영 · 은수,이민호 · 김희선,Carry On,알리,알리,Carry On,신의 (Original Television Soundtrack),,2026-08-28 14:20
76,2012,아랑사또전,아랑 · 은오,신민아 · 이준기,서털구털,박요한,박요한,서털구털,아랑사또전 (Original Television Soundtrack),,2026-08-28 14:20
77,2012,옥탑방 왕세자,이각 · 박하,박유천 · 한지민,상처,알리,알리,상처,옥탑방 왕세자 (Original Soundtrack) Part.1 - EP,,2026-08-28 14:20
78,2012,응답하라 1997,윤윤제 · 성시원,서인국 · 정은지,All For You,서인국,서인국 & 정은지,All for You,"응답하라 1997 - Love Story, Pt. 1 (Original Television Soundtrack) - Single",,2026-08-28 14:20
79,2012,해를 품은 달,이훤 · 허연우,김수현 · 한가인,시간을 거슬러,린,린,시간을 거슬러,MBC 드라마 해를 품은 달 OST (Special Edition),,2026-08-28 14:20
80,2012,해운대 연인들,이태성 · 소라,김강우 · 조여정,해운대 연인들,남규리,Nam Gyu Ri,해운대 연인들,해운대 연인들 (Original Soundtrack),,2026-08-28 14:20
81,2013,구가의 서,최강치 · 담여울,이승기 · 배수지,구가의 서,박세준,박세준,구가의 서,구가의 서 (Original Television Soundtrack),,2026-08-28 14:20
82,2013,굿닥터,박시온 · 차윤서,주원 · 문채원,사랑하고 있습니다,투빅,투빅,사랑하고 있습니다,KBS2 월화드라마 굿 닥터 (Original Soundtrack),,2026-08-28 14:20
83,2013,그 겨울 바람이 분다,오수 · 오영,조인성 · 송혜교,겨울사랑,The One,The One,겨울사랑,"그 겨울, 바람이 분다 (Original TV Series Soundtrack), Pt. 2 - Single",,2026-08-28 14:20
84,2013,나인,박선우 · 주민영,이진욱 · 조윤희,아홉 개의 향,이지혜,이지혜,아홉 개의 향,"나인: 아홉 번의 시간여행 (Original TV Series Soundtrack), Pt. 1 - Single",,2026-08-28 14:20
85,2013,너의 목소리가 들려,박수하 · 장혜성,이종석 · 이보영,에코,에브리 싱글 데이,에브리 싱글 데이,에코,"너의 목소리가 들려 (Original Television Soundtrack), Pt. 1 - EP",,2026-08-28 14:20
86,2013,별에서 온 그대,도민준 · 천송이,김수현 · 전지현,My Destiny,린,린,My Destiny,별에서 온 그대 (Original Soundtrack) Part.1 - Single,,2026-08-28 14:20
87,2013,상속자들,김탄 · 차은상,이민호 · 박신혜,Moment,창민,이창민,Moment,"상속자들, Pt. 3 (Original Television Soundtrack) - Single",,2026-08-28 14:20
88,2013,응답하라 1994,쓰레기 · 성나정,정우 · 고아라,운명,김성균 & 도희,김성균 & 도희,운명,응답하라 1994 감독판 (Original Television Soundtrack),,2026-08-28 14:20
89,2013,장옥정 사랑에 살다,장옥정 · 이순,김태희 · 유아인,꿈에서라도,지아,지아,꿈에서라도,"장옥정, 사랑에 살다 (Original Television Soundtrack), Pt. 2 - Single",,2026-08-28 14:20
90,2013,주군의 태양,주중원 · 태공실,소지섭 · 공효진,미치게 만들어,효린,효린,미치게 만들어,주군의 태양 (Original Television Soundtrack),,2026-08-28 14:20
91,2013,총리와 나,권율 · 남다정,이범수 · 임윤아,발걸음,태민,태민,발걸음,총리와 나 (Original Television Soundtrack),,2026-08-28 14:20
92,2013,황금의 제국,장태주 · 최서윤,고수 · 이요원,피의 춤,이념,이념,피의 춤,황금의 제국 (Original Soundtrack),,2026-08-28 14:20
93,2014,골든크로스,강도윤 · 서이레,김강우 · 이시영,Island,모세,모세,Island,"골든크로스 (Original Television Soundtrack), Pt.1 - Single",,2026-08-28 14:20
94,2014,괜찮아 사랑이야,장재열 · 지해수,조인성 · 공효진,괜찮아 사랑이야,다비치,다비치,괜찮아 사랑이야,"괜찮아 사랑이야, Vol. 1 (Original Television Soundtrack)",,2026-08-28 14:20
95,2014,닥터 이방인,박훈 · 한승희,이종석 · 진세연,이방인,바비킴,바비킴,이방인,닥터 이방인 (Original Television Soundtrack),,2026-08-28 14:20
96,2014,미생,장그래 · 안영이,임시완 · 강소라,날아,이승열,이승열,날아,미생 (Original Television Soundtrack),,2026-08-28 14:20
97,2014,쓰리데이즈,한태경 · 이차영,박유천 · 박하선,"널 사랑한다, 지운다, 또 운다",신용재,신용재,"널 사랑한다, 지운다, 또 운다",쓰리 데이즈 (Original Soundtrack) Pt. 3 - Single,,2026-08-28 14:20
98,2014,왕의 얼굴,광해 · 김가희,서인국 · 조윤희,그대라서,손승연,Seung Yeon Son,그대라서,왕의 얼굴 (Original Soundtrack),,2026-08-28 14:20
99,2014,운명처럼 널 사랑해,이건 · 김미영,장혁 · 장나라,잠시 안녕처럼,에일리,에일리,잠시 안녕처럼,운명처럼 널 사랑해 (Original Sound Track) Pt. 6 - Single,,2026-08-28 14:20
100,2014,조선총잡이,박윤강 · 정수인,이준기 · 남상미,連 - 다홍치마,Five Sense,Five Sense,連 - 다홍치마,조선총잡이 (Original Television Soundtrack),,2026-08-28 14:20
101,2014,태양은 가득히,정세로 · 한영원,윤계상 · 한지혜,태양은 가득히,양파,yangpa,태양은 가득히,"태양은 가득히 (Original Television Soundtrack), Pt. 4 - Single",,2026-08-28 14:20
102,2014,힐러,서정후 · 채영신,지창욱 · 박민영,Eternal Love,Michael Learns To Rock,Michael Learns to Rock,Eternal Love,Healer (Original Television Soundtrack),,2026-08-28 14:20
103,2015,그녀는 예뻤다,지성준 · 김혜진,박서준 · 황정음,모르나봐,SoYou,SoYou & 브라더수,모르나봐,"그녀는 예뻤다 (Original Television Soundtrack), Pt. 4 - Single",,2026-08-28 14:20
104,2015,냄새를 보는 소녀,최무각 · 오초림,박유천 · 신세경,아리송해,김은영 & 장이정(히스토리),김은영 & 장이정(히스토리),아리송해,냄새를 보는 소녀 (Original Television Soundtrack),,2026-08-28 14:20
105,2015,두번째 스무살,하노라 · 차현석,최지우 · 이상윤,두번째 스무살 Title,잔나비,잔나비,두번째 스무살 Title,두번째 스무살 (Original Television Soundtrack),,2026-08-28 14:20
106,2015,맨도롱 또똣,백건우 · 이정주,유연석 · 강소라,더 가까이,효린,효린,더 가까이,맨도롱 또똣 (Original Television Soundtrack),,2026-08-28 14:20
107,2015,오 나의 귀신님,강선우 · 나봉선,조정석 · 박보영,오! 나의 귀신님,한소현,한소현 & 제이미 박,오! 나의 귀신님,오 나의 귀신님 (Original Television Soundtrack),,2026-08-28 14:20
108,2015,용팔이,김태현 · 한여진,주원 · 김태희,용팔이,박기헌,박기헌,용팔이,용팔이 (Music from the Original TV Series),,2026-08-28 14:20
109,2015,응답하라 1988,김정환 · 성덕선,류준열 · 혜리,청춘,김필,김필,청춘 (feat. 김창완),"응답하라 1988, Pt. 1 (Original Television Soundtrack) - Single",,2026-08-28 14:20
110,2015,착하지 않은 여자들,김현숙 · 정마리,채시라 · 이하나,소녀와 가로등,어쿠스틱 콜라보,어쿠스틱 콜라보,소녀와 가로등 (Original Ver.),KBS2 수목드라마 착하지 않은 여자들 (Original Soundtrack) Pt. 1 - EP,,2026-08-28 14:20
111,2015,킬미힐미,차도현 · 오리진,지성 · 황정음,환청,장재인,장재인,환청 (feat. 나쑈),MBC 드라마 킬미힐미 (Original Television Soundtrack),,2026-08-28 14:20
112,2015,프로듀사,백승찬 · 신디,김수현 · 아이유,두근두근,벤,벤,두근두근,프로듀사  : Special Edition (Original Soundtrack),,2026-08-28 14:20
113,2015,후아유 학교 2015,고은별 · 한이안,김소현 · 남주혁,바람에 날려 (feat. 펀치),배치기,배치기,바람에 날려 (feat. 펀치),"후아유-학교 2015, Pt. 2 (Original Television Soundtrack) - Single",,2026-08-28 14:20
114,2016,구르미 그린 달빛,이영 · 홍라온,박보검 · 김유정,구르미 그린 달빛,거미,거미,구르미 그린 달빛,"구르미 그린 달빛 (Original Television Soundtrack), Pt. 3 - Single",,2026-08-28 14:20
115,2016,굿와이프,김혜경 · 이태준,전도연 · 유지태,숨,넬,넬,숨,"굿와이프, Pt. 1 (Original Television Soundtrack) - Single",,2026-08-28 14:20
116,2016,낭만닥터 김사부,부용주 · 강동주,한석규 · 유연석,언제나 괜찮아,신용재,신용재,언제나 괜찮아,낭만닥터 김사부 (Music from the Original TV Series) Pt.7 - Single,,2026-08-28 14:20
117,2016,달의 연인 보보경심 려,왕소 · 해수,이준기 · 아이유,그대를 잊는다는건,다비치,다비치,그대를 잊는다는건,달의 연인: 보보경심 려 (Original Television Soundtrack),,2026-08-28 14:20
