번호,연도,작품,배역1,배우1,배역2,배우2,OST가수,OST곡,실제매칭가수,실제매칭곡,앨범
59,2013,굿닥터,박시온,주원,차윤서,문채원,투빅,사랑하고 있습니다,투빅,사랑하고 있습니다,KBS2 월화드라마 굿 닥터 (Original Soundtrack)
60,2013,그 겨울 바람이 분다,오수,조인성,오영,송혜교,The One,겨울사랑,The One,겨울사랑,"그 겨울, 바람이 분다 (Original TV Series Soundtrack), Pt. 2 - Single"
61,2013,나인,박선우,이진욱,주민영,조윤희,이지혜,아홉 개의 향,이지혜,아홉 개의 향,"나인: 아홉 번의 시간여행 (Original TV Series Soundtrack), Pt. 1 - Single"
62,2013,너의 목소리가 들려,박수하,이종석,장혜성,이보영,에브리 싱글 데이,에코,에브리 싱글 데이,에코,"너의 목소리가 들려 (Original Television Soundtrack), Pt. 1 - EP"
63,2013,별에서 온 그대,도민준,김수현,천송이,전지현,린,My Destiny,린,My Destiny,별에서 온 그대 (Original Soundtrack) Part.1 - Single
64,2013,응답하라 1994,쓰레기,정우,성나정,고아라,김성균 & 도희,운명,김성균 & 도희,운명,응답하라 1994 감독판 (Original Television Soundtrack)
65,2013,장옥정 사랑에 살다,장옥정,김태희,이순,유아인,지아,꿈에서라도,지아,꿈에서라도,"장옥정, 사랑에 살다 (Original Television Soundtrack), Pt. 2 - Single"
66,2013,주군의 태양,주중원,소지섭,태공실,공효진,효린,미치게 만들어,효린,미치게 만들어,주군의 태양 (Original Television Soundtrack)
67,2013,총리와 나,권율,이범수,남다정,임윤아,태민,발걸음,태민,발걸음,총리와 나 (Original Television Soundtrack)
68,2013,황금의 제국,장태주,고수,최서윤,이요원,이념,피의 춤,이념,피의 춤,황금의 제국 (Original Soundtrack)
69,2014,골든크로스,강도윤,김강우,서이레,이시영,모세,Island,모세,Island,"골든크로스 (Original Television Soundtrack), Pt.1 - Single"
70,2014,괜찮아 사랑이야,장재열,조인성,지해수,공효진,다비치,괜찮아 사랑이야,다비치,괜찮아 사랑이야,"괜찮아 사랑이야, Vol. 1 (Original Television Soundtrack)"
71,2014,닥터 이방인,박훈,이종석,한승희,진세연,바비킴,이방인,바비킴,이방인,닥터 이방인 (Original Television Soundtrack)
