번호,발매연도,가수,곡,실제매칭가수,실제매칭곡,앨범,앨범연도
111,1999,이정현,와,이정현,와,Let's Go To My Star,1999
112,1999,핑클,영원한 사랑,핑클,영원한 사랑,White,1999
113,2000,god,거짓말,지오디,거짓말,Chapter 3,2000
114,2000,김현정,멍,김현정,멍,The Third Eye,2000
115,2000,왁스,오빠,왁스,오빠,왁스 1집 - 엄마의 일기,2000
116,2000,조성모,아시나요,조성모,아시나요,Let Me Love,2000
117,2000,조성모,가시나무,조성모,가시나무,Classic,2000
118,2001,god,길,지오디,길,Chapter 4,2001
119,2001,브라운아이즈,벌써 일년,Brown Eyes,벌써 일년,Brown Eyes,2001
120,2001,성시경,내게 오는 길,성시경,내게 오는 길 (Bonus Track),처음처럼,2000
121,2001,싸이,새,싸이,새,Psy From The Psycho World,2001
122,2001,포지션,I Love You,포지션,I Love You,I Love You,2000
123,2002,김범수,보고싶다,김범수,보고 싶다,보고 싶다,2002
124,2002,보아,No.1,보아,No.1,NO.1 - The 2nd Album,2002
125,2002,비,나쁜 남자,비,나쁜 남자,N001,2002
126,2002,이수영,라라라,이수영,라라라,Sweet Holiday In Lombok,2002
127,2002,장나라,Sweet Dream,장나라,Sweet Dream,Sweet Dream,2002
128,2002,휘성,안되나요,휘성,안되나요,Like a Movie,2002
129,2003,보아,아틀란티스 소녀,보아,아틀란티스 소녀,Atlantis Princess - The 3rd Album,2003
130,2003,세븐,와줘,SE7EN,와줘,Just Listen,2003
131,2003,이효리,10 Minutes,이효리,10 Minutes,Stylish...,2003
132,2003,휘성,With Me,휘성,With Me,YG 10th Anniversary,2003
133,2004,MC몽,너에게 쓰는 편지,MC 몽,너에게 쓰는 편지 (feat. Lyn),180 Degree,2004
134,2004,SG워너비,Timeless,SG Wannabe,Timeless,SG Wanna Be+,2004
135,2004,김종국,한 남자,김종국,한 남자,Evolution,2004
136,2004,신화,Brand New,신화,Brand New,Brand New,2004
137,2004,이수영,휠릴리,이수영,휠릴리,The Colors Of My Life,2004
138,2004,장윤정,어머나,장윤정,어머나!,어머나 !,2003
139,2005,SG워너비,살다가,SG Wannabe,살다가,살다가,2005
140,2005,SG워너비,죄와 벌,SG Wannabe,죄와 벌,살다가,2005
